time,alt,MN,TRA,Wf,Fn,Nf,Nc,epr,phi,NfR,NcR,BPR,farB,htBleed
0,0,0,0,1.38,18073,1258.3,7678.4,1.0519,28.903,1258.3,7449.6,9.4495,0.013078,282.29
1.005,0,0.0034247,1.3699,1.3804,17903,1258.3,7678.4,1.0518,28.909,1258.3,7449.6,9.4505,0.013081,282.3
2.01,0,0.0068664,2.7466,1.3804,17737,1258.3,7678.4,1.0518,28.908,1258.3,7449.6,9.453,0.013081,282.3
3.015,0,0.010308,4.1233,1.3805,17573,1258.3,7678.5,1.0517,28.908,1258.3,7449.6,9.4562,0.013081,282.3
4.02,0,0.01375,5.5,1.3807,17412,1258.3,7678.5,1.0516,28.909,1258.3,7449.6,9.4599,0.013081,282.3
5.025,0,0.017192,6.8767,1.4344,17524,1264.2,7689.7,1.0528,29.55,1264.2,7458.7,9.4137,0.013471,283.44
6.03,0,0.020634,8.2534,1.4993,18238,1285.8,7717.6,1.0547,30.004,1285.7,7477.5,9.4301,0.013776,285.7
7.035,0,0.024075,9.6301,1.5598,19034,1309.7,7744.9,1.0565,30.386,1309.7,7494.2,9.4731,0.014035,287.85
8.04,0,0.027517,11.007,1.6207,19830,1333.8,7772,1.0583,30.752,1333.7,7510.4,9.5107,0.014287,289.96
9.045,0,0.030959,12.384,1.6823,20618,1357.8,7798.7,1.0602,31.114,1357.6,7526.3,9.5411,0.014537,292.03
10.05,0,0.034401,13.76,1.7463,21402,1381.6,7825.5,1.0621,31.485,1381.4,7542.4,9.5644,0.014794,294.11
11.055,0,0.037842,15.137,1.812,22187,1405.5,7852.5,1.0641,31.853,1405.3,7558.5,9.5794,0.015051,296.21
12.06,0,0.041284,16.514,1.8785,22971,1429.5,7879.3,1.0661,32.212,1429.2,7574.3,9.5905,0.015304,298.29
13.065,0,0.044726,17.89,1.9458,23754,1453.5,7906,1.0682,32.563,1453.2,7589.9,9.5975,0.015554,300.34
14.07,0,0.048168,19.267,2.014,24536,1477.5,7932.5,1.0704,32.906,1477.1,7605.2,9.6008,0.0158,302.36
15.075,0,0.05161,20.644,2.0779,25300,1501.2,7958.2,1.0724,33.193,1500.8,7619.8,9.6061,0.01601,304.29
16.08,0,0.055051,22.021,2.1402,25988,1522.9,7981.6,1.0743,33.492,1522.5,7632.7,9.6075,0.016227,306.06
