time,alt,MN,TRA,Wf,Fn,Nf,Nc,epr,phi,NfR,NcR,BPR,farB,htBleed,Nf_Nc_ratio,Wf_moving_avg,alt_diff
0.0,-1.3648919226221035,-1.569537720210927,-5.324234537335014,-1.3211011106055373,-0.7024546817792354,-5.363098172288898,-2.6635594272593464,-0.5389372949637724,-3.9440899907112774,-5.967450471566729,-5.499572729593922,0.4253620266030001,-3.4873128364575896,-2.5241655920221984,2.0135079838662455,,
1.005,-1.3648919226221035,-1.5584781019406173,-5.245021937521442,-1.3208838932794953,-0.7092892816352241,-5.363098172288898,-2.6635594272593464,-0.5396958873539358,-3.9423986849726718,-5.967450471566729,-5.499572729593922,0.42682830038298875,-3.486312694618915,-2.5238049119833916,2.0135079838662455,,0.0
2.01,-1.3648919226221035,-1.5473635844059646,-5.165416136978816,-1.3208838932794953,-0.715963067376954,-5.363098172288898,-2.6635594272593464,-0.5396958873539358,-3.9426805692624387,-5.967450471566729,-5.499572729593922,0.4304939848329616,-3.486312694618915,-2.5238049119833916,2.0135079838662455,-1.3209562990548427,0.0
3.015,-1.3648919226221035,-1.5362493898081608,-5.0858103364361895,-1.3208295889479846,-0.7225564460615549,-5.363098172288898,-2.663264809866783,-0.5404544797440993,-3.9426805692624387,-5.967450471566729,-5.499572729593922,0.4351860609289298,-3.486312694618915,-2.5238049119833916,2.0137307234413395,-1.3208657918356586,0.0
4.02,-1.3648919226221035,-1.525133903462961,-5.006204535893564,-1.3207209802849635,-0.7290292141604616,-5.363098172288898,-2.663264809866783,-0.5412130721342628,-3.9423986849726718,-5.967450471566729,-5.499572729593922,0.44061127391488847,-3.486312694618915,-2.5238049119833916,2.0137307234413395,-1.320811487504148,0.0
5.025,-1.3648919226221035,-1.5140184171177609,-4.926598735350937,-1.2915595542638079,-0.7245264189612222,-5.330566357003848,-2.6302676618998118,-0.5321099634523009,-3.7617108552316276,-5.934113883331966,-5.416778540181809,0.3728694252793786,-3.3562942555912563,-2.4826873875593773,2.026625059578021,-1.311036707832252,0.0
6.03,-1.3648919226221035,-1.502902930772561,-4.846992934808311,-1.256316043113473,-0.6958210995660701,-5.211466829858581,-2.548069409374944,-0.5176967080391928,-3.6337353876771283,-5.812633095696817,-5.245731203813919,0.39691631527120386,-3.2546131686593696,-2.4011736987889623,2.0452609378238966,-1.2895321925540815,0.0
7.035,-1.3648919226221035,-1.4917906737958515,-4.767387134265684,-1.2234619225496013,-0.6638190908286176,-5.07968540861914,-2.467638861205453,-0.5040420450162482,-3.5260555889858987,-5.677026635080835,-5.093790218848827,0.45996608781075066,-3.168267589920488,-2.3236274904454244,2.058520591679161,-1.257112506642294,0.0
8.04,-1.3648919226221035,-1.4806751874506516,-4.687769768995732,-1.1903905846596874,-0.6318170820911652,-4.946801213980208,-2.3877975478210836,-0.4903873819933036,-3.4228859389309503,-5.541420174464854,-4.946398365170116,0.5150979819383522,-3.0842556754718475,-2.2475240022571175,2.0717004331017383,-1.223389516774254,0.0
9.045,-1.3648919226221035,-1.4695597011054515,-4.608146621362119,-1.1569391164492002,-0.6001367015822298,-4.814468406041021,-2.3091347040069645,-0.4759741265801955,-3.320843826035072,-5.4063787407681065,-4.801735990263225,0.5596727048500311,-3.000910522248989,-2.1728632342240384,2.084966458512201,-1.1902638745528298,0.0
10.05,-1.3648919226221035,-1.4584442147602517,-4.52858129736513,-1.12218434428246,-0.568617135187553,-4.683238371501329,-2.2301772428002824,-0.4615608711670874,-3.2162647545312857,-5.271902333990591,-4.655253962841793,0.5938368839237832,-2.915231704735891,-2.09784178615215,2.099939987559421,-1.1565046817971159,0.0
